province,province_th,district_th,district,subdistrict_th,subdistrict
Bangkok,????????,??????????,Bangkok Yai,???????,Wat Arun
Bangkok,????????,??????????,Bangkok Yai,?????????,Wat Tha Phra
Bangkok,????????,???????,Bueng Kum,????????,Khlong Kum
Bangkok,????????,???????,Bueng Kum,????????,Nawamin
Bangkok,????????,???????,Bueng Kum,?????????,Nuan Chan
Bangkok,????????,???????,Chatuchak,?????????,Chan Kasem
Bangkok,????????,???????,Chatuchak,???????,Chatuchak
Bangkok,????????,???????,Chatuchak,?????,Chom Phon
Bangkok,????????,???????,Chatuchak,??????,Lat Yao
Bangkok,????????,???????,Chatuchak,????????,Sena Nikhom
Bangkok,????????,??????,Chom Thong,??????,Bang Kho
Bangkok,????????,??????,Chom Thong,???????????,Bang Khun Thian
Bangkok,????????,??????,Chom Thong,?????,Bang Mot
Bangkok,????????,??????,Chom Thong,??????,Chom Thong
Bangkok,????????,??????,Din Daeng,??????,Din Daeng
Bangkok,????????,????????,Don Mueang,????????,Don Mueang
Bangkok,????????,????????,Don Mueang,???????,Sanam Bin
Bangkok,????????,????????,Don Mueang,?????,Si Kan
Bangkok,????????,?????,Dusit,?????,Dusit
Bangkok,????????,?????,Dusit,????????????,Si Yaek Mahanak
Bangkok,????????,?????,Dusit,??????????,Suan Chitlada
Bangkok,????????,?????,Dusit,????????????,Thanon Nakhon Chai Si
Bangkok,????????,?????,Dusit,??????????,Wachira Phayaban
Bangkok,????????,????????,Huai Khwang,???????,Bang Kapi
Bangkok,????????,????????,Huai Khwang,????????,Huai Khwang
Bangkok,????????,????????,Huai Khwang,?????????,Sam Sen Nok
Bangkok,????????,????????,Khan Na Yao,????????,Khan Na Yao
Bangkok,????????,????????,Khan Na Yao,?????????,Ram Inthra
Bangkok,????????,?????????,Khlong Sam Wa,??????,Bang Chan
Bangkok,????????,?????????,Khlong Sam Wa,??????????,Sai Kong Din
Bangkok,????????,?????????,Khlong Sam Wa,?????????????,Sai Kong Din Tai
Bangkok,????????,?????????,Khlong Sam Wa,?????????????,Sam Wa Tawan Ook
Bangkok,????????,?????????,Khlong Sam Wa,????????????,Sam Wa Tawan Tok
Bangkok,????????,???????,Khlong San,???????????,Bang Lamphu Lang
Bangkok,????????,???????,Khlong San,???????,Khlong San
Bangkok,????????,???????,Khlong San,??????????,Khlong Ton Sai
Bangkok,????????,???????,Khlong San,???????????????,Somdet Chao Phraya
Bangkok,????????,???????,Khlong Toei,???????,Khlong Tan
Bangkok,????????,???????,Khlong Toei,???????,Khlong Toei
Bangkok,????????,???????,Khlong Toei,???????,Phra Khanong
Bangkok,????????,???????,Lak Si,??????????,Talat Bang Khen
Bangkok,????????,???????,Lak Si,???????????,Thung Song Hong
Bangkok,????????,?????????,Lat Krabang,?????????????,Khlong Sam Prawet
Bangkok,????????,?????????,Lat Krabang,??????????????,Khlong Song Ton Nun
Bangkok,????????,?????????,Lat Krabang,??????,Khum Thong
Bangkok,????????,?????????,Lat Krabang,????????,Lam Pla Thio
Bangkok,????????,?????????,Lat Krabang,?????????,Lat Krabang
Bangkok,????????,?????????,Lat Krabang,??????,Thap Yao
Bangkok,????????,????????,Lat Phrao,????????,Chorakhe Bua
Bangkok,????????,????????,Lat Phrao,????????,Lat Phrao
Bangkok,????????,???????,Min Buri,???????,Min Buri
Bangkok,????????,???????,Min Buri,??????,Saen Saep
Bangkok,????????,???????,Nong Chok,???????,Khlong Sip
Bangkok,????????,???????,Nong Chok,??????????,Khlong Sip Song
Bangkok,????????,???????,Nong Chok,??????,Khok Faet
Bangkok,????????,???????,Nong Chok,????????????,Khu Fang Nuea
Bangkok,????????,???????,Nong Chok,??????????,Krathum Rai
Bangkok,????????,???????,Nong Chok,???????,Lam Phak Chi
Bangkok,????????,???????,Nong Chok,??????????,Lam Toiting
Bangkok,????????,???????,Nong Chok,???????,Nong Chok
Bangkok,????????,???????,Nong Khaem,???????,Nong Khaem
Bangkok,????????,???????,Nong Khaem,???????????,Nong Khang Phlu
Bangkok,????????,???????,Pathum Wan,???????,Lumphini
Bangkok,????????,???????,Pathum Wan,???????,Pathum Wan
